# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\FPGA\Master-DE2-70\Amiga\fpga\de2_70\Fampiga_CSV.csv
# Generated on: Mon Aug 19 09:15:50 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
AUDIOLEFT,Output,,,,PIN_B22,,,,
AUDIORIGHT,Output,,,,PIN_AJ20,,,,
AUD_ADCDAT,Input,PIN_E19,4,B4_N2,PIN_E19,,,,
AUD_ADCLRCK,Bidir,PIN_F19,4,B4_N2,PIN_F19,,,,
AUD_BCLK,Bidir,PIN_E17,4,B4_N3,PIN_E17,,,,
AUD_DACDAT,Output,PIN_F18,4,B4_N2,PIN_F18,,,,
AUD_DACLRCK,Bidir,PIN_G18,4,B4_N2,PIN_G18,,,,
AUD_XCK,Output,PIN_D17,4,B4_N3,PIN_D17,,,,
CLOCK_27,Input,PIN_E16,4,B4_N3,PIN_E16,,,,
CLOCK_50,Input,PIN_AD15,7,B7_N3,PIN_AD15,,,,
DRAM_ADDR[11],Output,PIN_AE4,1,B1_N3,PIN_AE4,,,12mA,
DRAM_ADDR[10],Output,PIN_Y8,1,B1_N2,PIN_Y8,,,12mA,
DRAM_ADDR[9],Output,PIN_AC7,1,B1_N3,PIN_AC7,,,12mA,
DRAM_ADDR[8],Output,PIN_AD4,1,B1_N2,PIN_AD4,,,12mA,
DRAM_ADDR[7],Output,PIN_AC6,1,B1_N3,PIN_AC6,,,12mA,
DRAM_ADDR[6],Output,PIN_AC5,1,B1_N3,PIN_AC5,,,12mA,
DRAM_ADDR[5],Output,PIN_AC4,1,B1_N2,PIN_AC4,,,12mA,
DRAM_ADDR[4],Output,PIN_AB7,1,B1_N3,PIN_AB7,,,12mA,
DRAM_ADDR[3],Output,PIN_AB5,1,B1_N3,PIN_AB5,,,12mA,
DRAM_ADDR[2],Output,PIN_AA6,1,B1_N2,PIN_AA6,,,12mA,
DRAM_ADDR[1],Output,PIN_AA5,1,B1_N2,PIN_AA5,,,12mA,
DRAM_ADDR[0],Output,PIN_AA4,1,B1_N1,PIN_AA4,,,12mA,
DRAM_BA_0,Output,PIN_AA9,1,B1_N3,PIN_AA9,,,12mA,
DRAM_BA_1,Output,PIN_AA10,1,B1_N3,PIN_AA10,,,12mA,
DRAM_CAS_N,Output,PIN_W10,1,B1_N2,PIN_W10,,,12mA,
DRAM_CKE,Output,PIN_AA8,1,B1_N3,PIN_AA8,,,12mA,
DRAM_CLK,Output,PIN_AD6,1,B1_N3,PIN_AD6,,,12mA,
DRAM_CS_N,Output,PIN_Y10,1,B1_N2,PIN_Y10,,,12mA,
DRAM_DQ[15],Bidir,PIN_AH2,1,B1_N3,PIN_AH2,,,12mA,
DRAM_DQ[14],Bidir,PIN_AH1,1,B1_N3,PIN_AH1,,,12mA,
DRAM_DQ[13],Bidir,PIN_AG3,1,B1_N3,PIN_AG3,,,12mA,
DRAM_DQ[12],Bidir,PIN_AG2,1,B1_N3,PIN_AG2,,,12mA,
DRAM_DQ[11],Bidir,PIN_AF3,1,B1_N3,PIN_AF3,,,12mA,
DRAM_DQ[10],Bidir,PIN_AF2,1,B1_N3,PIN_AF2,,,12mA,
DRAM_DQ[9],Bidir,PIN_AF1,1,B1_N3,PIN_AF1,,,12mA,
DRAM_DQ[8],Bidir,PIN_AE3,1,B1_N3,PIN_AE3,,,12mA,
DRAM_DQ[7],Bidir,PIN_AE2,1,B1_N2,PIN_AE2,,,12mA,
DRAM_DQ[6],Bidir,PIN_AE1,1,B1_N2,PIN_AE1,,,12mA,
DRAM_DQ[5],Bidir,PIN_AD3,1,B1_N2,PIN_AD3,,,12mA,
DRAM_DQ[4],Bidir,PIN_AD2,1,B1_N2,PIN_AD2,,,12mA,
DRAM_DQ[3],Bidir,PIN_AD1,1,B1_N2,PIN_AD1,,,12mA,
DRAM_DQ[2],Bidir,PIN_AC3,1,B1_N2,PIN_AC3,,,12mA,
DRAM_DQ[1],Bidir,PIN_AC2,1,B1_N2,PIN_AC2,,,12mA,
DRAM_DQ[0],Bidir,PIN_AC1,1,B1_N2,PIN_AC1,,,12mA,
DRAM_LDQM,Output,PIN_V9,1,B1_N1,PIN_V9,,,12mA,
DRAM_RAS_N,Output,PIN_Y9,1,B1_N2,PIN_Y9,,,12mA,
DRAM_UDQM,Output,PIN_AB6,1,B1_N3,PIN_AB6,,,12mA,
DRAM_WE_N,Output,PIN_W9,1,B1_N2,PIN_W9,,,12mA,
EXT_CLOCK,Input,PIN_R29,5,B5_N3,PIN_R29,,,,
